#{"t_start": 1727809943.5609581, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
5763.077701,200,13.714018,30.886890422961002,28.815388507026828
5744.136847,200,23.852054,33.12099032335839,28.720684234414303
5739.973243,200,34.245082,29.5296461204668,28.699866216192728
5754.383437,200,44.784351,33.83784863137726,28.771917183083417
5815.355326,200,51.066036,20.223748416156685,28.806045622875214
5759.071808,200,61.450656,41.86884283091664,28.7953590394798
5751.708412,200,68.748081,41.88078318274385,28.758542058984954
5792.033246,200,78.941847,33.60059523282288,28.738446007293557
5762.408929,200,86.574194,30.4138126514911,28.812044643414374
5762.981738,200,95.345748,42.43819034784589,28.814908690078877
6173.82084,200,111.658289,16.278820596099706,28.64379665282283
5741.645954,200,118.903503,48.54894437575342,28.70822977069034
5756.945753,200,125.835594,45.79301256742124,28.784728762570587
5736.88884,200,131.701422,35.22782990761707,28.68444419764023
5953.542699,200,139.196546,19.1049731745428,28.692486055435666
5731.497303,200,145.169155,30.0,28.634711557938637
6005.674095,200,152.892665,17.88854381999832,28.794360419566424
5749.759383,200,157.989988,47.20169488482379,28.748796916561734
5737.857431,200,165.040938,46.87216658103186,28.68928715549972
5738.966399,200,171.393245,34.9857113690718,28.694831993399493
5945.983047,200,184.511258,23.345235059857504,28.78495642441463
5747.14321,200,191.95725,43.73785545725808,28.735716047705527
5738.258036,200,198.925863,35.0,28.69129017954587
5753.139548,200,204.129897,26.90724809414742,28.731535302223964
5854.772506,200,213.012521,41.036569057366385,28.733836935661643
5752.917002,200,218.909071,29.966648127543394,28.764585008808577
6222.331384,200,226.995365,16.278820596099706,28.674545294797326
6032.611616,200,233.987221,16.64331697709324,28.71513645238784
5800.178809,200,243.596483,22.360679774997898,28.76573012911227
5745.561695,200,250.005971,43.46262762420146,28.727808474764522
5924.847448,200,270.229286,17.88854381999832,28.69015638161258
5755.935539,200,287.293728,40.24922359499622,28.779677692836735
5740.675395,200,296.5167,38.01315561749642,28.703376974950405
5747.718882,200,308.885978,36.76955262170047,28.73859440825807
5776.164374,200,317.988692,27.730849247724095,28.70641949669766
6103.492799,200,330.186744,26.870057685088806,28.733958169952224
5739.632524,200,339.900123,45.27692569068709,28.698162620686173
5746.937171,200,352.008024,38.07886552931954,28.734685853869472
5977.510599,200,358.431749,24.186773244895647,28.707095921798135
5741.069008,200,367.146981,40.01249804748511,28.70534504108419
5792.303475,200,383.479337,25.0,28.717694118489753
5746.994783,200,392.844515,31.144823004794873,28.734973914924183
6110.385148,200,407.515065,24.08318915758459,28.76395673932917
5739.514661,200,418.527192,49.193495504995376,28.697573306554272
6010.102129,200,426.28319,21.02379604162864,28.708848827053362
6110.991045,200,437.073565,20.808652046684813,28.75929729825446
6034.255084,200,446.008113,22.02271554554524,28.792792536010428
6068.742691,200,454.15205,22.20360331117452,28.66875325385277
5738.813676,200,462.919395,37.64306044943742,28.694068382076857
5746.692524,200,471.110479,44.04543109109048,28.73346261782365
6034.140717,200,479.822282,17.46424919657298,28.73753901845311
5743.540968,200,499.674333,34.713109915419565,28.717704840095074
5939.932728,200,507.984833,31.064449134018133,28.772784722223527
